"Beverage ID";"Country";"Ingredient";"Labels";"Stage";"Impact Category";"Indicator";"Unit";"Value";"Monetary Value";"Beverage-type";"product-id";"Product";"Years";"Production Method";"Stage functional unit";"Data quality (country specific)";"Proxy";"Salepoint";"Deca";"Milk Type";"Price Excluding Tax";"Value Added Tax";"Smart Value Added Tax";"Smart Pricing";"Smart Pricing rounded";"Value Unit";"References"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Land use";"m2a crop eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Marine ecotoxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Marine eutrophication";"kg N eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Mineral resource scarcity";"kg Cu eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Ozone formation, Human health";"kg NOx eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Ozone formation, Terrestrial ecosystems";"kg NOx eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Stratospheric ozone depletion";"kg CFC11 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Terrestrial acidification";"kg SO2 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Terrestrial ecotoxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Water consumption";"m3";-0;-0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Agricultural land occupation";"m2a";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Global warming";"kg CO2 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Fossil resource scarcity";"kg oil eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Freshwater ecotoxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
